Ticker
AMT
PLD
CCI
EQIX
PSA
O
SBAC
WELL
SPG
VICI
DLR
AVB
EXR
EQR
CBRE
WY
ARE
INVH
DRE
MAA
VTR
ESS
CPT
IRM
UDR
PEAK
KIM
HST
BXP
FRT
VNO
