Ticker
PG
PEP
KO
COST
WMT
PM
MDLZ
MO
CL
EL
GIS
ADM
KMB
STZ
SYY
MNST
HSY
KDP
KR
KHC
WBA
TSN
MKC
K
CHD
CAG
CLX
SJM
HRL
BF\B
LW
CPB
TAP
