Ticker
BRK/B
JPM
BAC
WFC
SCHW
MS
SPGI
GS
BLK
AXP
C
CB
MMC
PGR
CME
PNC
TFC
AON
USB
ICE
MET
MCO
TRV
AIG
AJG
COF
ALL
MSCI
AFL
PRU
MTB
BK
AMP
DFS
FRC
TWO
STT
WTW
FITB
HIG
SIVB
NDAQ
RJF
HBAN
RF
NTRS
CFG
PFG
FDS
KEY
BRO
CINF
SYF
WRB
CBOE
RE
SBNY
CMA
GL
MKTX
AIZ
ZION
LNC
IVZ
BEN
