Ticker
NEE
SO
DUK
D
SRE
AEP
EXC
XEL
ED
WEC
PEG
CEG
ES
AWK
DTE
EIX
AEE
ETR
FE
PPL
CNP
CMS
AES
ATO
EVRG
LNT
NI
NRG
PNW
