Ticker
UNH
JNJ
LLY
PFE
ABBV
MRK
TMO
ABT
DHR
BMY
CSV
AMGN
ELV
MDT
CI
GILD
VRTX
REGN
ZTS
SYK
ISRG
BDX
HUM
BSX
EW
MCK
CNC
HCA
MRNA
BIIB
A
IQV
RMD
DXCM
ILMN
BAX
IDXX
MTB
ZBH
ABC
MOH
LH
CAH
WST
STE
HOLX
WAT
ALGN
PKI
DGX
COO
CTLT
INCY
ABMD
TECH
VTRS
CRL
TFX
BIO
HSIC
OGN
UHS
XRAY
DVA
