Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,67103H107,ORLY ,"803,316","638,154,230.40",0.420,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,500754106,KHC ,"15,720,981","632,926,695.06",0.417,Kraft Heinz Co/The,Common Stock,Consumer Staples,01/23/2023
QQQ,49271V100,KDP ,"18,176,746","630,551,318.74",0.415,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,01/23/2023
QQQ,025537101,AEP ,"6,595,037","611,096,128.42",0.403,American Electric Power Co Inc,Common Stock,Utilities,01/23/2023
QQQ,052769106,ADSK ,"2,770,297","585,336,053.13",0.386,Autodesk Inc,Common Stock,Information Technology,01/23/2023
QQQ,697435105,PANW ,"3,880,694","579,542,841.96",0.382,Palo Alto Networks Inc,Common Stock,Information Technology,01/23/2023
QQQ,N6596X109,NXPI ,"3,325,660","575,438,949.80",0.379,NXP Semiconductors NV,Common Stock,Information Technology,01/23/2023
QQQ,722304102,PDD ,"6,007,451","572,510,080.30",0.377,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,01/23/2023
QQQ,172908105,CTAS ,"1,303,297","570,544,327.69",0.376,Cintas Corp,Common Stock,Industrials,01/23/2023
QQQ,704326107,PAYX ,"4,625,651","555,031,863.49",0.366,Paychex Inc,Common Stock,Information Technology,01/23/2023
QQQ,09062X103,BIIB ,"1,848,139","539,527,218.27",0.355,Biogen Inc,Common Stock,Health Care,01/23/2023
QQQ,595017104,MCHP ,"7,059,004","538,672,595.24",0.355,Microchip Technology Inc,Common Stock,Information Technology,01/23/2023
QQQ,009066101,ABNB ,"5,111,058","537,785,522.76",0.354,Airbnb Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,30161N101,EXC ,"12,754,058","533,374,705.56",0.351,Exelon Corp,Common Stock,Utilities,01/23/2023
QQQ,046353108,AZN ,"7,840,829","530,118,448.69",0.349,AstraZeneca PLC ADR,American Depository Receipt,Health Care,01/23/2023
QQQ,252131107,DXCM ,"4,957,342","527,461,188.80",0.347,Dexcom Inc,Common Stock,Health Care,01/23/2023
QQQ,45168D104,IDXX ,"1,062,981","527,387,393.34",0.347,IDEXX Laboratories Inc,Common Stock,Health Care,01/23/2023
QQQ,778296103,ROST ,"4,454,343","515,723,832.54",0.340,Ross Stores Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,34959E109,FTNT ,"10,026,328","506,429,827.28",0.334,Fortinet Inc,Common Stock,Information Technology,01/23/2023
QQQ,550021109,LULU ,"1,569,868","496,203,877.44",0.327,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,98389B100,XEL ,"7,023,419","477,662,726.19",0.315,Xcel Energy Inc,Common Stock,Utilities,01/23/2023
QQQ,573874104,MRVL ,"10,942,440","467,789,310.00",0.308,Marvell Technology Inc,Common Stock,Information Technology,01/23/2023
QQQ,679580100,ODFL ,"1,417,953","457,800,305.58",0.302,Old Dominion Freight Line Inc,Common Stock,Industrials,01/23/2023
QQQ,98138H101,WDAY ,"2,592,454","457,386,659.22",0.301,Workday Inc,Common Stock,Information Technology,01/23/2023
QQQ,693718108,PCAR ,"4,463,329","456,375,390.25",0.301,PACCAR Inc,Common Stock,Industrials,01/23/2023
QQQ,285512109,EA ,"3,543,444","451,470,200.04",0.297,Electronic Arts Inc,Common Stock,Communication Services,01/23/2023
QQQ,452327109,ILMN ,"2,018,924","436,854,775.12",0.288,Illumina Inc,Common Stock,Health Care,01/23/2023
QQQ,256746108,DLTR ,"2,838,863","428,639,924.37",0.282,Dollar Tree Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,192446102,CTSH ,"6,595,808","423,714,705.92",0.279,Cognizant Technology Solutions Corp,Common Stock,Information Technology,01/23/2023
