Ticker
AMZN
TSLA
HD
MCD
LOW
NKE
SBUX
TJX
TGT
BKNG
DG
GM
ORLY
F
AZO
CMG
MAR
HLT
YUM
ROST
DLTR
APTV
DHI
GPC
ULTA
TSCO
EBAY
LEN
DRI
EXPE
BBY
ETSY
POOL
GRMN
LKQ
LVS
NVR
DPZ
KMX
VFC
MGM
AAP
HAS
PHM
RCL
BBWI
BWA
WHR
CCL
TPR
CZR
WYNN
NWL
MHK
NCLH
RL
