Ticker
UNP
RTX
UPS
HON
DE
LMT
CAT
NOC
GE
BA
MMM
WM
CSX
ETN
ITW
NSC
GD
EMR
LHX
FDDX
JCI
CTAS
TT
PH
CARRR
PCAR
CMI
RSG
CSGP
TDG
OTIS
VRSK
FAST
AME
ROK
CPRT
ODFL
GWW
EFX
FTV
URI
LUV
PWR
DAL
IR
DOV
XYL
IEX
WAB
EXPD
J
JBHT
TXT
CHRW
LDOS
GNRC
HWM
NDSN
SWK
SNA
UAL
MAS
NLSN
HII
RHI
ROL
AAL
ALLE
FBHS
PNR
AOS
ALK

